,index,Unnamed: 0,company,description,label,name
0,0,0.0,infosys,"Infosys is a global leader in next-generation digital services and consulting. We enable clients in 45 countries to navigate their digital transformation. With over three decades of experience in managing the systems and workings of global enterprises, we expertly steer our clients through the many nexts of their digital journey. We do it by enabling the enterprise with an AI-powered core that helps prioritize the execution of change. We also empower the business with agile digital at scale to deliver unprecedented levels of performance and customer delight. Our always-on learning agenda drives their continuous improvement through building and transferring digital skills, expertise and ideas from our innovation ecosystem.  Visit www.infosys.com to see how Infosys (NYSE: INFY) can help your enterprise navigate your next.",Yes,Infosys
1,1,1.0,wipro,"Wipro Limited (NYSE: WIT, BSE: 507685, NSE: WIPRO) is a leading global information technology, consulting and business process services company. We harness the power of cognitive computing, hyper-automation, robotics, cloud, analytics and emerging technologies to help our clients adapt to the digital world and make them successful. A company recognized globally for its comprehensive portfolio of services, strong commitment to sustainability and good corporate citizenship, we have over 160,000 dedicated employees serving clients across six continents. Together, we discover ideas and connect the dots to build a better and a bold new future. ",Yes,Wipro Limited
2,2,2.0,hcl-technologies,"HCL Technologies is a next-generation global technology company that helps enterprises reimagine their businesses for the digital age. Our technology products, services, and engineering are built on four decades of innovation, with a world-renowned management philosophy, a strong culture of invention and risk-taking, and a relentless focus on customer relationships.   We offer an integrated portfolio of products, solutions, services, and IP through our Mode 1-2-3 strategy, built around Digital, IoT, Cloud, Automation, Cybersecurity, Analytics, Infrastructure Management and Engineering Services, amongst others. With a worldwide network of R&D, innovation labs and delivery centers, and 143,900+ ‘Ideapreneurs’ working in 44 countries, HCL serves leading enterprises across key industries, including 250 of the Fortune 500 and 650 of the Global 2000.",Yes,HCL Technologies
3,3,3.0,akvelon," Akvelon is a software engineering organization focused on enabling software-centric companies to deliver on their engineering and business commitments, knowledge retention, and growth by building and operating dedicated, long term software engineering team extensions   One of Puget Sound Business Journal’s fastest-growing private companies in Washington State, Akvelon focuses on the fundamentals: smart solutions, efficient execution, and proven methodology. Our employees are committed to providing companies with outstanding performance and persistent problem-solving.   Companies, such as T-Mobile, Microsoft, Allyis, Perlego, and many more, have greatly benefited from working with Akvelon’s talented employees. We provide clients with the opportunity to reduce costs, increase profitability, and make their visions become a reality.  Specialties Cloud Computing, Business Efficiency with CRM, SharePoint, Dynamics CRM, Mobile Computing, Business Analysis, Business Intelligence, Infrastructure Solutions, Application and Product Development, Software Testing Services, C/C++ / Win32 / WCF / WPF / Embedded / Virtualization, Porting and Web-Enabling Legacy Applications, Budgeted Projects and/or Team Extensions, Microsoft Certified, Mobile Applications  Interested in opportunities? Check out our open positions at:  http://akvelon.com/careers/  Twitter: @AkvelonInc Facebook: https://www.facebook.com/Akvelon/  Akvelon is an Equal Opportunity Employer - All qualified applicants will receive consideration. We do not discriminate on the basis of race, color, religion, gender, national origin, age, disability, veteran status, or any other factor determined to be unlawful under applicable law.",Yes,"Akvelon, Inc."
4,4,4.0,accenture,"Accenture is a leading global professional services company, providing a broad range of services and solutions in strategy, consulting, digital, technology and operations. Combining unmatched experience and specialized skills across more than 40 industries and all business functions—underpinned by the world’s largest delivery network—Accenture works at the intersection of business and technology to help clients improve their performance and create sustainable value for their stakeholders. With more than 450,000 people serving clients in over 120 countries, Accenture drives innovation to improve the way the world works and lives.",Yes,Accenture
5,0,,saddock-&-co.-pllc,"Saddock Companies is a financial consulting, accounting and investment advisory group of firms. The company has 3 branches, Saddock Wealth, which focuses on wealth management and investment advisory services, Saddock Advisory, which focuses on tax planning and business consulting services, and Saddock & Company, PLLC, which is our CPA firm that provides accounting and assurance services",No,Saddock Companies
6,1,,nu-chapter-consulting-group,"Nu Chapter Consulting Group is a student consulting group that was founded by Alpha Kappa Psi at Boston University in 2012. The group provides consulting services in the fields of finance, accounting, marketing, operations management, and information systems to small and medium sized businesses and startups like yours.  We have 4 critical advantages:  1. A team of professional, bright, high energy students, many with internship backgrounds with major organizations such as McKinsey and IBM. Membership of Alpha Kappa Psi requires demonstrated academic achievement in business studies.  2. Most critically, we are backed by mentors from the business studies faculty at Boston University School of Management, current or former management consultants and venture capitalists and/or senior entrepreneurs who have built successful businesses from the ground up. Our mentors support and help quality control our work throughout the project.  3. Our team and our mentors are happy to be bound by all reasonable confidentiality agreements.  4. We don’t charge for our services. If we aren’t adding value send us away.  We are currently seeking to develop additional relationships where owners and managers believe Nu Chapter can add value. We invite email us at akpsi.nu.consulting@gmail.com to find out more about how we can help your startup through the next step in development.",No,Nu Chapter Consulting Group
7,2,,bleacher-report,"Bleacher Report (often abbreviated as B/R) is a global digital destination for millennial sports fans creating and collaborating on content at the intersection of sports and culture. Bleacher Report's website and social channels focus on sports culture for the next generation of fans. Bleacher Report's headquarters are in San Francisco, with offices in New York City and London.",No,Bleacher Report
8,3,,armanino-llp,"Armanino LLP is a Top 25 CPA & Consulting firm in the nation, one of the ""Best of the Best"" accounting firms and a Best Places to Work, both nationally and regionally. We have a strong commitment to our communities and are a Green Certified business.   Armanino brings depth, expertise and value to its clients. We strive to be unique in the market by providing on-site partner involvement and deep industry expertise with a regional perspective for both private and public companies. We offer a high personal level of attention to our clients and strive to communicate on your business needs and provide proactive counsel throughout the year.   We are perfectly positioned to provide services to companies that are looking for an alternative to national or ""Big Four"" firms or outgrowing their local CPA. We have three departments consisting of Audit, Tax and Consulting that provide a complete array of traditional and non-traditional services.",No,Armanino LLP
9,4,,remote-how,"Remote-how is the first all-in-one platform where companies can seamlessly find, employ, and retain remote, full-time employees from 128 countries.  Partnering up with other fully-distributed companies like GitLab, Buffer or InVision, Remote-how is at the forefront of the remote work revolution. It is the ultimate solution for remote education, recruitment, and international employment.  We are the makers of the biggest virtual conference about remote work - The Remote Future Summit and various educational activities, such as The Remote-How Academy or Global Work From Home Day. Currently, we are developing Remote-how Marketplace, world's first end-to-end solution for talent matching, recruiting and hiring remotely.  Our clients include: PWC, Consensys, Deloitte, Netguru, Universal Investment. We were featured by Forbes & the BBC.",No,"Remote-how, Inc."
